"","DOMENICK.S.PIZZERIA","X1015.ALLERTON.AVENUE.BRONX.NY.10469","long","lat"
"1","DOMENICK'S PIZZA & RESTAURANT","10708 ROCKAWAY BLVD,QUEENS NY,11417",-73.8318,40.6782513
"2","DOMENICK'S PIZZA","8774 SUTPHIN BOULEVARD,QUEENS NY,11435",-73.8097075,40.7051537
"3","DOMAND'S ITALIAN GOURMET DELI & CATERERS","3029 STRATTON ST,QUEENS NY,11354",-73.8344473,40.7692416
"4","DOMAINE WINE BAR","5004 VERNON BOULEVARD,QUEENS NY,11101",-73.9542,40.7425852
"5","DOMA NA ROHU","27 12 MORTON STREET,MANHATTAN NY,10014",-74.0045242,40.7311577
"6","DOMA","4343 41ST ST,QUEENS NY,11104",-73.9230993,40.7441995
"7","DOLPHINS DINER","16216 UNION TPKE,QUEENS NY,11366",-73.8052913,40.7211214
"8","DOLLY'S ITALIAN ICES","5805 AVENUE T,BROOKLYN NY,11234",-73.9185785,40.6154835
"9","DOLL'S","14432 HILLSIDE AVENUE,QUEENS NY,11435",-73.8085616,40.7061271
"10","DOLCINO TRATTORIA TOSCANA","517 2 AVENUE,MANHATTAN NY,10016",-73.9785218,40.7415752
"11","DOLCI PARADISE BAKERY","4807 45 STREET,QUEENS NY,11377",-73.9203906,40.7394282
"12","DOLCI BAKE SHOP","7409 METROPOLITAN AVENUE,QUEENS NY,11379",-73.8778896,40.7131043
"13","DOLCE VITA CREPERIE","547 KINGS HWY,BROOKLYN NY,11223",-73.969308,40.6047579
"14","DOLCE VITA","5811 AVENUE N,BROOKLYN NY,11234",-73.918773,40.6196433
"15","DOKEBI GRILL","199 GRAND STREET,BROOKLYN NY,11211",-73.9602094,40.7143126
"16","DOKA SQUARE","141 ELDRIDGE ST,MANHATTAN NY,10002",-73.9912824,40.71954
"17","DOJO RESTAURANT","10 WEST 4 STREET,MANHATTAN NY,10012",-73.9948711,40.7287069
"18","DOJO IZAKAYA","38 AVENUE B,MANHATTAN NY,10009",-73.9830882,40.7228109
"19","DOCTORS CAVE CAFE","856 MARCY AVE,BROOKLYN NY,11216",-73.946996,40.6841763
