"","V1","V2","long","lat"
"1","LELLO'S PIZZA","4018 GLENWOOD ROAD,BROOKLYN NY,11210",-73.9375561,40.6344614
"2","LELLA ALIMENTARI","325 MANHATTAN AVE,BROOKLYN NY,11211",-73.9464076,40.7151322
"3","LELI'S BAKERY AND PASTRY SHOP","3514 30 AVENUE,QUEENS NY,11103",-73.917837,40.764946
"4","LELABAR","422 HUDSON STREET,MANHATTAN NY,10014",-74.0065682,40.7303827
"5","LEILANY'S BAKERY","11402 JAMAICA AVE,QUEENS NY,11418",-73.834642,40.698098
"6","LEGION","790 METROPOLITAN AVENUE,BROOKLYN NY,11211",-73.9425259,40.7145075
"7","LEGENDS NYC","6 WEST   33 STREET,MANHATTAN NY,10001",-73.9857111,40.7479328
"8","Legends Bar & Restaurant","1735 E 172ND ST,BRONX NY,10472",-73.8697615,40.8326862
"9","LEGENDS BAR & GRILL","7104 35 AVENUE,QUEENS NY,11372",-73.8947756,40.7505192
"10","LEGENDS 100","1 EAST  161 STREET,BRONX NY,10451",-73.9265691,40.8288189
"11","LEGENDS 000","1 EAST  161 STREET,BRONX NY,10451",-73.9265691,40.8288189
"12","LEGEND'S PUB","1975 VICTORY BOULEVARD,STATEN ISLAND NY,10314",-74.1298759,40.6127789
"13","LEGEND WEST VILLAGE","82 W 3RD ST,MANHATTAN NY,10012",-73.9989913,40.7296714
"14","LEGEND UPPER WEST","258 WEST  109 STREET,MANHATTAN NY,10025",-73.966815,40.8032671
"15","LEGEND COOKHOUSE","13511 ROCKAWAY BOULEVARD,QUEENS NY,11420",-73.802856,40.674758
"16","LEGEND BAR & RESTAURANT","88 7 AVENUE,MANHATTAN NY,10011",-73.9993049,40.7396046
"17","LEGEND","127 W 72 ST,MANHATTAN NY,10023",-73.9796141,40.7780723
"18","LEFTFIELD","87 LUDLOW STREET,MANHATTAN NY,10002",-73.9894795,40.7183401
"19","Left Hand Path","89 WYCKOFF AVE,BROOKLYN NY,11237",-73.920148,40.705176
"20","LEFT FIELD REST ACELA 340","126 ROOSEVELT AVENUE,QUEENS NY,11368",-73.8509772,40.7529862
"21","LEFT FIELD CONCESSION STAND","75 RICHMOND TERRACE,STATEN ISLAND NY,10301",-74.0764379,40.6453515
"22","LEFT BANK","117 PERRY STREET,MANHATTAN NY,10014",-74.0067227,40.7351601
"23","LEFRAK PIZZA","9717 57 AVENUE,QUEENS NY,11368",-73.8634835,40.7374821
"24","LEFKOS PYRGOS","3302 DITMARS BLVD,QUEENS NY,11105",-73.9097007,40.7751232
"25","LEFEU LOUNGE5","270 S 5TH ST,BROOKLYN NY,11211",-73.9585767,40.7092782
"26","LEE'S VILLA CHINESE RESTAURANT","152 LAWRENCE STREET,BROOKLYN NY,11201",-73.9865266,40.6916015
"27","LEE'S TAVERN","60 HANCOCK STREET,STATEN ISLAND NY,10305",-74.0951739,40.5887642
"28","LEE'S RESTAURANT","626 E 187TH ST,BRONX NY,10458",-73.886756,40.8548921
"29","LEE'S RESTAURANT","1546 MYRTLE AVE,BROOKLYN NY,11237",-73.9117495,40.6993193
"30","LEE'S KITCHEN","806 BURKE AVE,BRONX NY,10467",-73.8631042,40.8711575
"31","LEE'S KITCHEN","1884 FULTON STREET,BROOKLYN NY,11233",-73.9239672,40.6788288
"32","LEE XING RESTAURANT","3207 WESTCHESTER AVENUE,BRONX NY,10461",-73.8299817,40.8518816
"33","LEE WANG RESTAURANT","2129 VALENTINE AVENUE,BRONX NY,10457",-73.8996065,40.853956
"34","LEE LEE'S BAKED GOODS","283 WEST 118 STREET,MANHATTAN NY,10026",-73.9539762,40.8056949
"35","LEE LEE BUBBLE TEA","5718 5TH AVE,BROOKLYN NY,11220",-74.01497,40.6408764
"36","LEE GOOD TASTE KITCHEN","2686 PITKIN AVE,BROOKLYN NY,11208",-73.872888,40.6750709
"37","LEE GARDEN CHINESE RESTAURANT","121 WYCKOFF AVE,BROOKLYN NY,11237",-73.9189778,40.7043624
"38","LEE CHUNG CAFE","82 MADISON STREET,MANHATTAN NY,10002",-73.996324,40.7119436
"39","LEE CHINESE RESTAURANT","1884 FULTON ST,BROOKLYN NY,11233",-73.9239672,40.6788288
"40","LEE CHINESE RESTAURANT","3328 FULTON STREET,BROOKLYN NY,11208",-73.872725,40.683243
"41","LEE CHINESE RESTAURANT","2104 LINDEN BLVD,BROOKLYN NY,11207",-73.8849454,40.6608143
"42","LEDERHOSEN RESTAURANT","39 GROVE STREET,MANHATTAN NY,10014",-74.004509,40.7329129
"43","LECHONERA TROPICAL & GRILL","172 EAST  103 STREET,MANHATTAN NY,10029",-73.9466423,40.7896666
"44","LECHONERA POLLO SABROSO BORIQUENA","1089 SOUTHERN BLVD,BRONX NY,10459",-73.8922035,40.8257204
"45","LECHONERA LA ISLA","254 E 125TH ST,MANHATTAN NY,10035",-73.9341841,40.8027402
"46","LECHONERA EL SAZON CRIOLLO","682A CASTLE HILL AVENUE,BRONX NY,10473",-73.8481381,40.8210022
"47","LECHONERA & POLLO SABROSO RESTAURANT","3326 3 AVENUE,BRONX NY,10456",-73.9076017,40.8261403
"48","LECHE Y MIEL RESTAURANT","5761 BROADWAY,BRONX NY,10463",-73.9017588,40.8837214
"49","LEBRON RESTAURANT","1567A PITKIN AVE,BROOKLYN NY,11212",-73.9156089,40.6691451
"50","LEANLY CHINESE FOOD","1627 MERMAID AVENUE,BROOKLYN NY,11224",-73.9846071,40.576847
"51","LEAN CRUST/ Silver Spoon","737 FULTON STREET,BROOKLYN NY,11217",-73.9750342,40.6867286
"52","LEAKE AND WATTS","2250 RYER AVE,BRONX NY,10457",-73.8991511,40.8561745
"53","LEAH CAFE","462 AVENUE P,BROOKLYN NY,11223",-73.9702269,40.6088966
"54","LEAF ROOFTOP LOUNGE","13342 39TH AVE,QUEENS NY,11354",-73.832643,40.759295
"55","LEA WINE BAR","230 PARK AVENUE,MANHATTAN NY,10003",-73.9887831,40.7377414
"56","LEA","1022 CORTELYOU RD,BROOKLYN NY,11218",-73.9679559,40.6394247
"57","LE ZIE TRATTORIA","172 7 AVENUE,MANHATTAN NY,10011",-73.9970809,40.7424696
"58","Le Village","127 EAST    7 STREET,MANHATTAN NY,10009",-73.9839874,40.7264539
"59","LE VIET CAFE","1750 2ND AVE,MANHATTAN NY,10128",-73.949001,40.781107
"60","LE VEAU DOR","129 EAST   60 STREET,MANHATTAN NY,10022",-73.968072,40.763248
"61","LE TURTLE","177 CHRYSTIE ST,MANHATTAN NY,10002",-73.9922716,40.7212106
"62","LE TRAPEZE","17 EAST   27 STREET,MANHATTAN NY,10016",-73.9865193,40.7437768
"63","LE TRAIN BLEU & B CAFE","1000 3 AVENUE,MANHATTAN NY,10022",-73.9666667,40.7617753
"64","LE SOUK","510 LAGUARDIA PLACE,MANHATTAN NY,10012",-73.9993615,40.7279315
"65","LE SOLEIL RESTAURANT","858 10 AVENUE,MANHATTAN NY,10019",-73.9886085,40.7685815
"66","LE SINGE VERT","160 7 AVENUE,MANHATTAN NY,10011",-73.9973861,40.7420828
"67","LE SAJJ RESTAURANT","8221 5 AVENUE,BROOKLYN NY,11209",-74.0248038,40.6236917
"68","LE ROI LOUNGE","10 AKRON PLZ,STATEN ISLAND NY,10317",-74.1587734,40.6120211
"69","LE RIVAGE","340 WEST   46 STREET,MANHATTAN NY,10036",-73.9895726,40.7602192
"70","LE REVE","125 E 54 ST,MANHATTAN NY,10022",-73.9712573,40.7595374
"71","LE RELAIS DE VENISE","590 LEXINGTON AVENUE,MANHATTAN NY,10154",-73.9717686,40.7576759
"72","LE POISSON ROUGE","158 BLEECKER STREET,MANHATTAN NY,10012",-74.0000523,40.7284753
"73","LE PIF CHELSEA","465 W 23RD ST,MANHATTAN NY,10011",-74.0037054,40.7476868
"74","LE PHILOSOPHE","55 BOND STREET,MANHATTAN NY,10012",-73.9926818,40.7257088
"75","LE PETIT PARISIEN","32 E 7TH ST,MANHATTAN NY,10003",-73.989212,40.728205
"76","LE PETIT CAFE","502 COURT STREET,BROOKLYN NY,11231",-73.998863,40.6767369
"77","LE PETIT CAFE","156 SPRING STREET,MANHATTAN NY,10012",-74.0016946,40.724287
"78","LE PERIGORD","405 EAST   52 STREET,MANHATTAN NY,10022",-73.9646207,40.7550069
"79","LE PARISIEN","163 EAST   33 STREET,MANHATTAN NY,10016",-73.9791196,40.7454468
"80","LE PARIS DAKAR","518 NOSTRAND AVENUE,BROOKLYN NY,11216",-73.9499997,40.6811758
"81","LE PARIS BISTROT FRANCAIS","1312 MADISON AVENUE,MANHATTAN NY,10128",-73.9558185,40.7852711
"82","LE PAIN QUOTIDIEN","1270 1 AVENUE,MANHATTAN NY,10065",-73.9573939,40.765318
"83","LE PAIN QUOTIDIEN","1006 1ST AVE,MANHATTAN NY,10022",-73.9632303,40.7571072
"84","LE PAIN QUOTIDIEN","1592 1ST AVE,MANHATTAN NY,10028",-73.9505889,40.774701
"85","LE PAIN QUOTIDIEN","937 2 AVENUE,MANHATTAN NY,10022",-73.9689015,40.7547297
"86","LE PAIN QUOTIDIEN","708 3 AVENUE,MANHATTAN NY,10017",-73.9737387,40.75243
"87","LE PAIN QUOTIDIEN","10 5 AVENUE,MANHATTAN NY,10011",-73.9965531,40.732471
"88","LE PAIN QUOTIDIEN","239 5 AVENUE,BROOKLYN NY,11215",-73.9810487,40.6751549
"89","LE PAIN QUOTIDIEN","1271 6 AVENUE,MANHATTAN NY,10020",-73.980766,40.7603918
"90","LE PAIN QUOTIDIEN","124 7 AVENUE,MANHATTAN NY,10011",-73.9983322,40.7408689
"91","LE PAIN QUOTIDIEN","922 7 AVENUE,MANHATTAN NY,10019",-73.9797212,40.7664066
"92","LE PAIN QUOTIDIEN","52 9 AVENUE,MANHATTAN NY,10011",-74.0048482,40.7411766
"93","LE PAIN QUOTIDIEN","0 9TH AVE,MANHATTAN NY,10011",-73.9959856,40.7328451
"94","LE PAIN QUOTIDIEN","494 AMSTERDAM AVENUE,MANHATTAN NY,10024",-73.9763569,40.786389
"95","LE PAIN QUOTIDIEN","65 BLEECKER STREET,MANHATTAN NY,10012",-73.9950006,40.726267
"96","LE PAIN QUOTIDIEN","85 BROAD ST,MANHATTAN NY,10004",-74.0110917,40.7039915
"97","LE PAIN QUOTIDIEN","2463 BROADWAY,MANHATTAN NY,10025",-73.974366,40.7917978
"98","LE PAIN QUOTIDIEN","801 BROADWAY,MANHATTAN NY,10003",-73.9914063,40.7327205
"99","LE PAIN QUOTIDIEN","931 BROADWAY,MANHATTAN NY,10010",-73.9897514,40.7403389
"100","LE PAIN QUOTIDIEN","PQ BRYANT PARK KIOSK2,QUEENS NY,11001",-73.706594,40.720444
"101","LE PAIN QUOTIDIEN","NKA CENTRAL PARK,MANHATTAN NY,10023",-73.9800645,40.7769059
"102","LE PAIN QUOTIDIEN","16 EAST   44 STREET,MANHATTAN NY,10017",-73.9789507,40.7541212
"103","LE PAIN QUOTIDIEN","7 EAST   53 STREET,MANHATTAN NY,10022",-73.9749793,40.760306
"104","LE PAIN QUOTIDIEN","252 EAST   77 STREET,MANHATTAN NY,10075",-73.9564595,40.7720616
"105","LE PAIN QUOTIDIEN","100 GRAND STREET,MANHATTAN NY,10013",-74.0015753,40.7215003
"106","LE PAIN QUOTIDIEN","550 HUDSON STREET,MANHATTAN NY,10014",-74.0058106,40.735066
"107","LE PAIN QUOTIDIEN","861 LEXINGTON AVE,MANHATTAN NY,10065",-73.965287,40.765769
"108","LE PAIN QUOTIDIEN","1309 LEXINGTON AVENUE,MANHATTAN NY,10128",-73.9545981,40.7804806
"109","LE PAIN QUOTIDIEN","1399 MADISON AVE,MANHATTAN NY,10029",-73.9537012,40.7878701
"110","LE PAIN QUOTIDIEN","1131 MADISON AVENUE,MANHATTAN NY,10028",-73.9593889,40.779726
"111","LE PAIN QUOTIDIEN","121 MONTAGUE STREET,BROOKLYN NY,11201",-73.9945212,40.6951214
"112","LE PAIN QUOTIDIEN","3 PARK AVENUE,MANHATTAN NY,10016",-73.9811847,40.7465582
"113","LE PAIN QUOTIDIEN","2 RIVER TERRACE,MANHATTAN NY,10282",-74.0160607,40.715697
"114","LE PAIN QUOTIDIEN","250 W 55TH ST,MANHATTAN NY,10019",-73.983431,40.7649476
"115","LE PAIN QUOTIDIEN","70 WEST   40 STREET,MANHATTAN NY,10018",-73.9846249,40.7531403
"116","LE PAIN QUOTIDIEN","60 WEST   65 STREET,MANHATTAN NY,10023",-73.9815996,40.7726479
"117","LE PAIN QUOTiDIEN","2 WEST   69 STREET,MANHATTAN NY,10023",-73.9777267,40.7743383
"118","LE PAIN QUOTIDIEN","50 WEST   72 STREET,MANHATTAN NY,10023",-73.9784866,40.7769964
"119","LE PAIN QUOTIDIEN","81 WEST BROADWAY,MANHATTAN NY,10007",-74.0093072,40.7150388
"120","LE PADDOCK","1235 PROSPECT AVENUE,BROOKLYN NY,11218",-73.9758779,40.6530112
"121","LE P'TIT PARIS BISTRO","256 PROSPECT PARK WEST,BROOKLYN NY,11215",-73.9818575,40.6590688
"122","LE NAR","7214 3RD AVE,BROOKLYN NY,11209",-74.0272893,40.6331896
"123","LE MOULIN A CAFE","1439 YORK AVENUE,MANHATTAN NY,10075",-73.9519625,40.7698466
"124","LE MONDE","2883 BROADWAY,MANHATTAN NY,10025",-73.9657654,40.8056671
"125","LE MOMENT","6938 GRAND AVE,QUEENS NY,11378",-73.8940766,40.7264466
"126","LE MIRAGE CAFE","20 WEST   43 STREET,MANHATTAN NY,10036",-73.9817926,40.7544806
"127","LE MIDI BISTRO","11 EAST   13 STREET,MANHATTAN NY,10003",-73.9931853,40.7351805
"128","LE MARECAGE","137 1ST AVE,MANHATTAN NY,10003",-73.9853396,40.7279512
"129","LE MARAIS","150 WEST   46 STREET,MANHATTAN NY,10036",-73.9842905,40.7580003
"130","LE GRAND COMPTOIR","NKA JFK INTERNATIONAL AIRPORT,QUEENS NY,11430",-73.7781391,40.6413111
"131","LE GRAINNE CAFE","183 9 AVENUE,MANHATTAN NY,10011",-74.0024237,40.745412
"132","LE GOURMET","1267 1 AVENUE,MANHATTAN NY,10065",-73.9580014,40.7655108
"133","LE GLACIER","60 WALL STREET,MANHATTAN NY,10005",-74.0083195,40.7061677
