"","V1","V2","long","lat"
"1","FIVE GUYS FAMOUS BURGERS AND FRIES","2 METROTECH,BROOKLYN NY,11201",-73.9857147,40.693364
"2","FIVE GUYS FAMOUS BURGERS AND FRIES","138 MONTAGUE ST,BROOKLYN NY,11201",-73.993836,40.6944743
"3","FIVE GUYS FAMOUS BURGERS AND FRIES","2865 RICHMOND AVE,STATEN ISLAND NY,10314",-74.1696106,40.5770013
"4","FIVE GUYS FAMOUS BURGERS AND FRIES","1608 SHORE PKWY,BROOKLYN NY,11214",-74.0005151,40.5938934
"5","FIVE GUYS FAMOUS BURGERS AND FRIES","56 W 14TH ST,MANHATTAN NY,10011",-73.99633,40.736831
"6","FIVE GUYS FAMOUS BURGERS AND FRIES","316 WEST   34 STREET,MANHATTAN NY,10001",-73.9946125,40.7524247
"7","FIVE GUYS FAMOUS BURGERS AND FRIES","253 WEST   42 STREET,MANHATTAN NY,10036",-73.9885482,40.7570301
"8","FIVE GUYS FAMOUS BURGERS AND FRIES","36 WEST   48 STREET,MANHATTAN NY,10036",-73.9799243,40.7578295
"9","FIVE GUYS FAMOUS BURGERS AND FRIES","43 WEST   55 STREET,MANHATTAN NY,10019",-73.9766166,40.7626955
"10","FIVE GUYS FAMOUS BURGERS AND FRIES","7325 WOODHAVEN BOULEVARD,QUEENS NY,11385",-73.8554901,40.7029054
"11","FIVE BROTHERS PIZZA PLACE","2650 CONEY ISLAND AVE,BROOKLYN NY,11223",-73.9609932,40.5920209
"12","FITZGERALD'S PUB","336 THIRD AVENUE,MANHATTAN NY,10010",-73.9825799,40.7400916
"13","FITZCARALDO","195 MORGAN AVE,BROOKLYN NY,11237",-73.9341594,40.7107542
"14","FITNESS AND NUTRITION CENTER","705 MELROSE AVE,BRONX NY,10455",-73.9161522,40.8200945
"15","FIT CAFETERIA (BUILDING D) (8th ave)","227 WEST   27 STREET,MANHATTAN NY,10001",-73.9939366,40.7468282
"16","FISHTAIL","135 EAST   62 STREET,MANHATTAN NY,10065",-73.9670828,40.7644424
"17","FISHTAG","222 WEST 79 STREET,MANHATTAN NY,10024",-73.9794519,40.7833406
"18","FISHNET FRESH SEAFOOD","345 E 98TH ST,BROOKLYN NY,11212",-73.9166245,40.6596807
"19","FISHERMAN'S COVE","2025 CHURCH AVENUE,BROOKLYN NY,11226",-73.9603194,40.6503633
"20","FISHERMAN'S COVE","1122 EASTERN PARKWAY,BROOKLYN NY,11213",-73.9313567,40.6684184
"21","FISHERMAN'S COVE","4 NEWKIRK PLAZA,BROOKLYN NY,11226",-73.9627263,40.6355278
"22","FISHERMAN'S COVE","2137 NOSTRAND AVE,BROOKLYN NY,11210",-73.947379,40.633208
"23","FISHERMAN'S COVE","218 PARKSIDE AVE,BROOKLYN NY,11226",-73.9605176,40.655233
"24","FISH NET SEAFOOD","3814 CHURCH AVE,BROOKLYN NY,11203",-73.9413832,40.6510056
"25","FISH N TING RESTAURANT","4063 BOSTON ROAD,BRONX NY,10466",-73.8291989,40.8856667
"26","FISH FISH MO FISH","612 VANDERBILT AVE,BROOKLYN NY,11238",-73.969052,40.678094
"27","FISH EYE BAR & GRILL","5913 FOSTER AVENUE,BROOKLYN NY,11234",-73.9201216,40.6402456
"28","FISH BONE","4525 CHURCH AVENUE,BROOKLYN NY,11203",-73.9345192,40.6517203
"29","FISH BAR","237 EAST    5 STREET,MANHATTAN NY,10003",-73.989381,40.7271787
"30","FISH AND DISH","1491 BEACH CHANNEL DRIVE,QUEENS NY,11691",-73.7537055,40.610363
"31","FISH & SHRIMP RESTAURANT SPOT","2089 AMSTERDAM AVE,MANHATTAN NY,10032",-73.9387633,40.8368457
"32","Fish & Chips","555 THROOP AVENUE,BROOKLYN NY,11216",-73.9407995,40.6831546
"33","FISH","280 BLEECKER STREET,MANHATTAN NY,10014",-74.0034677,40.7317095
"34","FIRSTLIVE STUDIO","219 CENTRAL AVE,BROOKLYN NY,11221",-73.9237306,40.6975299
"35","FIRST TASTE BAKERY","7508 BROADWAY,QUEENS NY,11373",-73.8901293,40.7459601
"36","FIRST STOP DELI","406 AVENUE M,BROOKLYN NY,11230",-73.97109,40.616583
"37","FIRST STOP","124 HESTER ST,MANHATTAN NY,10002",-73.9946948,40.7168935
"38","FIRST SERVICE BAR","11000 ROCKAWAY BOULEVARD,QUEENS NY,11420",-73.8032797,40.6745381
"39","FIRST OASIS","9218 4 AVENUE,BROOKLYN NY,11209",-74.0306069,40.6180063
"40","FIRST HOT POT","4345 MAIN ST,QUEENS NY,11355",-73.825705,40.751514
"41","FIRST HAND FOOD PRODUCT","14254 ROOSEVELT AVE,QUEENS NY,11354",-73.8247407,40.7608946
"42","FIRST CHOICE RESTAURANT","3893A BROADWAY,MANHATTAN NY,10032",-73.9424974,40.8377785
"43","FIRST CHOICE DELI","8410 JAMAICA AVE,QUEENS NY,11421",-73.8514712,40.6939308
"44","FIROZAS ROTI BAR","716 BURKE AVENUE,BRONX NY,10467",-73.8664716,40.8714172
