"","V1","V2","long","lat"
"1","BELLE HARBOR YACHT CLUB","533 BEACH 126TH ST,QUEENS NY,11694",-73.8485088,40.5814119
"2","BELLE HARBOR STEAKHOUSE","268 BEACH  116 STREET,QUEENS NY,11694",-73.8376928,40.581304
"3","BELLE FOURCHETTE","1916 CHURCH AVENUE,BROOKLYN NY,11226",-73.96164,40.6499203
"4","BELLA'S PLACE","8777 SUTPHIN BLVD,QUEENS NY,11435",-73.8092419,40.7051606
"5","BELLA VITA PIZZERIA","211 WEST   43 STREET,MANHATTAN NY,10036",-73.9870106,40.7571403
"6","BELLA VITA","158 WEST   58 STREET,MANHATTAN NY,10019",-73.978792,40.7656726
"7","BELLA VIA","4746 VERNON BOULEVARD,QUEENS NY,11101",-73.9538559,40.7442595
"8","BELLA ROZA","6352 BOOTH STREET,QUEENS NY,11374",-73.8637065,40.7288056
"9","BELLA ROMA PIZZA","401 E 57TH ST,MANHATTAN NY,10022",-73.9626074,40.7584182
"10","BELLA ROMA PIZZA","405 E 57TH ST,MANHATTAN NY,10022",-73.9624891,40.7583699
"11","BELLA PIZZA OF BRONX","4555 3RD AVE,BRONX NY,10458",-73.8906903,40.8550025
"12","BELLA PIZZA & RESTAURANT","208 LIVINGSTON ST,BROOKLYN NY,11201",-73.985988,40.689476
"13","BELLA PIZZA","94-01 37 AVENUE,QUEENS NY,11372",-73.8730239,40.7510559
"14","BELLA PIZZA","1604 AVENUE H,BROOKLYN NY,11230",-73.9611131,40.6299187
"15","BELLA PIZZA","3101 NEWTOWN AVE,QUEENS NY,11102",-73.9205692,40.7676221
"16","BELLA PIZZA","1712 PITKIN AVE,BROOKLYN NY,11212",-73.909981,40.669539
"17","BELLA PIZZA","13462 SPRINGFIELD BOULEVARD,QUEENS NY,11413",-73.7559174,40.6748147
"18","BELLA NOVA'S RISTORANTE","6526 METROPOLITAN AVE,QUEENS NY,11379",-73.89528,40.7123104
"19","BELLA NOTTE PIZZERIA","3552 JOHNSON AVE,BRONX NY,10463",-73.9093986,40.8865351
"20","BELLA NAPOLI","7116 BAY PKWY,BROOKLYN NY,11204",-73.9855129,40.6102789
"21","BELLA NAPOLI","524 EAST  240 STREET,BRONX NY,10470",-73.8618097,40.9009334
"22","BELLA NAPOLI","4235 KATONAH AVENUE,BRONX NY,10470",-73.8673253,40.8967786
"23","BELLA NAPOLI","130 MADISON AVENUE,MANHATTAN NY,10016",-73.9847207,40.7457862
"24","BELLA MAMA ROSE","264 MORNINGSTAR ROAD,STATEN ISLAND NY,10303",-74.146948,40.631811
