"","ZZ.S.PIZZA...GRILL","X1.RICHMOND.TERRACE.STATEN.ISLAND.NY.10301","X.74.0751202","X40.642211"
"19","ZORALIE RESTAURANT","449 WEST 51 STREET,MANHATTAN NY,10019",-73.990179,40.765078
"20","ZOODO","1518 MACOMBS ROAD,BRONX NY,10452",-73.9172848,40.8434566
"21","ZONI CAFE","41 W 33RD ST,MANHATTAN NY,10001",-73.9869591,40.7488821
"22","ZONI CAFE","22 W 34TH ST,MANHATTAN NY,10001",-73.9864332,40.7489371
"23","ZONE CULINAIRE","751 DRAKE STREET,BRONX NY,10474",-73.883495,40.816652
"24","ZONA ROSA","571 LORIMER STREET,BROOKLYN NY,11211",-73.9495935,40.7139248
"25","ZOMBIE HUT","273 SMITH STREET,BROOKLYN NY,11231",-73.9930964,40.6825499
"26","ZOMA","2084 FREDRICK DOUGLAS BOULEVARD,MANHATTAN NY,10026",-73.9565463,40.8022645
"27","Zoilita Restaurant","7934 PARSONS BLVD,QUEENS NY,11366",-73.8091704,40.7203046
"28","ZOE'S PLACE","3870 10TH ST,QUEENS NY,11101",-73.9441137,40.7572171
"29","ZOE RESTAURANT & LOUNGE","1559 ST NICHLS AVE,MANHATTAN NY,10040",-73.9308509,40.8537026
"30","ZOE CAFE","301 WEST  121 STREET,MANHATTAN NY,10027",-73.9533509,40.8079661
"31","ZIZI LIMONA / THE HUMMUS","129 HAVEMEYER STREET,BROOKLYN NY,11211",-73.9568647,40.7123897
"32","ZITELLI'S","8530 3 AVENUE,BROOKLYN NY,11209",-74.031272,40.6236907
"33","ZIOTOTO RESTAURANTE & BAR","86 PAGE AVENUE,STATEN ISLAND NY,10309",-74.235526,40.5221813
"34","ZIO NINO PIZZA & RESTAURANT","7203 18 AVENUE,BROOKLYN NY,11204",-73.9941596,40.6148788
"35","ZIO LUIGI","4215 QUEENS BLVD,QUEENS NY,11104",-73.9218357,40.7438563
"36","ZIO","17 WEST   19 STREET,MANHATTAN NY,10011",-73.9924795,40.7396687
"37","ZING'S AWESOME RICE","122 LUDLOW ST,MANHATTAN NY,10002",-73.9883361,40.7196298
"38","ZINC","82 WEST    3 STREET,MANHATTAN NY,10012",-73.9989913,40.7296714
"39","ZIME BISTRO","441 E FORDHAM RD,BRONX NY,10458",-73.8892354,40.8612275
"40","ZIEGFIELD CINEMA","141 WEST 54 STREET,MANHATTAN NY,10019",-73.9798106,40.7631786
"41","ZIBETTO ESPRESSO BAR","501 5TH AVE,MANHATTAN NY,10017",-73.9807943,40.7531582
"42","ZIBETTO ESPRESSO BAR","1385 6 AVENUE,MANHATTAN NY,10019",-73.9777517,40.7638695
"43","ZIBETTO ESPRESSO BAR","1221 AVENUE OF THE AMERICAS,MANHATTAN NY,10020",-73.98222,40.7594099
"44","ZHU JI GUO TIE","4052 MAIN STREET,QUEENS NY,11354",-73.8299029,40.7582634
"45","ZHOU'S YUMMY RESTAURANT","4117 UNION STREET,QUEENS NY,11355",-73.8257002,40.7588219
"46","ZHONGYUAN HOTPOT","13631 41ST AVE,QUEENS NY,11355",-73.8285126,40.7590093
"47","ZHONG WAH CHINESE RESTAURANT","23 WEST  100 STREET,MANHATTAN NY,10025",-73.9639162,40.7948221
"48","ZHIQING ACTIVITY CENTER","13525 NORTHERN BLVD,QUEENS NY,11354",-73.8324903,40.7635737
"49","ZHENG FUZHOU CUISINE INC.","13B ELDRIDGE ST,MANHATTAN NY,10002",-73.9937829,40.714783
"50","ZHEN GOOD TASTE","5961 69TH ST,QUEENS NY,11378",-73.8927403,40.7218615
"51","ZHANG'S GARDEN","17525 JAMAICA AVENUE,QUEENS NY,11432",-73.7848275,40.7081372
"52","ZHANG'S CHINA PALACE","3014 MIDDLETOWN ROAD,BRONX NY,10461",-73.8296077,40.8439021
"53","ZEYTINZ","24 WEST   40 STREET,MANHATTAN NY,10018",-73.9833072,40.7525918
"54","ZEUS LOUNGE","1793 JEROME AVE,BRONX NY,10453",-73.9116274,40.8492336
"55","ZEST SZECHUAN","45 W 39TH ST,MANHATTAN NY,10018",-73.9844508,40.7527332
"56","ZEST","977 BAY STREET,STATEN ISLAND NY,10305",-74.0694045,40.6188366
"57","ZEST","249 BROOME STREET,MANHATTAN NY,10002",-73.9899604,40.7178538
"58","ZERZA","320 EAST    6 STREET,MANHATTAN NY,10003",-73.9875708,40.7268176
"59","ZERO OTTO NOVE TRATTORIA","2357 ARTHUR AVENUE,BRONX NY,10458",-73.8885542,40.8548598
"60","ZEREGA AVENUE DELI","1130 ZEREGA AVENUE,BRONX NY,10462",-73.8444647,40.8315701
"61","ZENON TAVERNA GREEK RESTAURANT","3410 31ST AVE,QUEENS NY,11106",-73.9208577,40.7628144
"62","ZENKICHI","77 NORTH    6 STREET,BROOKLYN NY,11249",-73.9608301,40.7189722
"63","ZENGO NYC","622 3 AVENUE,MANHATTAN NY,10017",-73.9756083,40.7497508
"64","ZENG'S RESTAURANT","950 FOURTH AVENUE,BROOKLYN NY,11232",-74.004564,40.654586
"65","ZENG BAO LUNCH BOX","15 DIVISION ST,MANHATTAN NY,10002",-73.996693,40.7139305
"66","ZEN VEGETARIAN HOUSE","773 FLATBUSH AVE,BROOKLYN NY,11226",-73.9593323,40.6539614
"67","ZEN PALATE","516 3RD AVE,MANHATTAN NY,10016",-73.978129,40.746229
"68","ZEN HIBACHI LOUNGE","11715 101ST AVE,QUEENS NY,11419",-73.827269,40.689845
"69","ZEN FUSION CUISINE","7928 PARSONS BOULEVARD,QUEENS NY,11366",-73.8095016,40.7203736
"70","ZEN 6 RAMEN & GYOZA  HOUSE","328 EAST    6 STREET,MANHATTAN NY,10003",-73.9872591,40.7266851
"71","ZEN 3 CUISINE","13335 ROOSEVELT AVE,QUEENS NY,11354",-73.8331317,40.7588187
"72","ZEMA DELI/GROCERY","5433 MYRTLE AVENUE,QUEENS NY,11385",-73.9098122,40.6998368
"73","ZEKE'S","7720 3 AVENUE,BROOKLYN NY,11209",-74.0287881,40.6295949
"74","ZEFF'S PIZZERIA","312 SOUTH    3 STREET,BROOKLYN NY,11211",-73.9549379,40.7095473
"75","ZEFES MEXICAN RESTAURANT","1224 MYRTLE AVENUE,BROOKLYN NY,11221",-73.9289954,40.6975036
"76","ZEE BAGELS","2803 AVENUE U,BROOKLYN NY,11229",-73.9436643,40.6004295
"77","ZEBU GRILL","305 EAST   92 STREET,MANHATTAN NY,10128",-73.9483276,40.7816316
"78","ZEBRA LOUNGE","13611 38 AVENUE,QUEENS NY,11354",-73.8303305,40.7611262
"79","ZAYTOONS RESTAURANT","472 MYRTLE AVENUE,BROOKLYN NY,11205",-73.9663889,40.6932274
"80","ZAYTOONS RESTAURANT","283 SMITH STREET,BROOKLYN NY,11231",-73.9932709,40.6823049
"81","ZAYTOONS RESTAURANT","594 VANDERBILT AVENUE,BROOKLYN NY,11238",-73.9687173,40.6787216
"82","ZARO'S FAMILY BAKERY","200 BROADWAY,MANHATTAN NY,10038",-74.0089171,40.7104473
"83","ZARO'S BREAD BASKET","501 7 AVENUE,MANHATTAN NY,10018",-73.9888134,40.7529652
"84","ZARO'S BREAD BASKET","89 EAST   42 STREET,MANHATTAN NY,10017",-73.9771667,40.7528054
"85","ZARO'S BREAD BASKET","2 PENN PLAZA,MANHATTAN NY,10121",-73.9921676,40.7499719
"86","ZARO'S BREAD BASKET","1 PENNSYLVANIA STATION (AMTRACK),MANHATTAN NY,10001",-73.9991637,40.7536854
"87","ZARO'S BAKERY","89 EAST   42 STREET,MANHATTAN NY,10017",-73.9771667,40.7528054
"88","ZARO'S BAKERY","370 LEXINGTON AVENUE,MANHATTAN NY,10017",-73.9767958,40.750761
"89","ZARAGOZA RESTAURANT","3623 FT HAMILTON PARKWAY,BROOKLYN NY,11218",-73.988634,40.644023
"90","ZANNY'S CAFE","975 COLUMBUS AVENUE,MANHATTAN NY,10025",-73.9617018,40.800328
"91","ZAMBA RIOS","2770 ATLANTIC AVE,BROOKLYN NY,11207",-73.8920158,40.6760876
"92","ZAMAAN HOOKAH BAR","349 BROADWAY,BROOKLYN NY,11211",-73.9557931,40.7078779
"93","ZAMAAN","2204 AVENUE X,BROOKLYN NY,11235",-73.9479518,40.5927593
"94","ZAITZEFF","72 NASSAU STREET,MANHATTAN NY,10038",-74.008227,40.7095755
"95","ZAGHLOUL GRILL","61 NEW DORP PLZ N,STATEN ISLAND NY,10306",-74.117709,40.573701
"96","ZAGARA WINE BAR","216 7TH AVE,MANHATTAN NY,10011",-73.9962409,40.7438065
"97","ZAFI'S LUNCHEONETTE","500 GRAND STREET,MANHATTAN NY,10002",-73.9828058,40.7150766
"98","ZABLOZKIS","107 NORTH    6 STREET,BROOKLYN NY,11249",-73.9599244,40.7184558
"99","ZABKA","616 HALSEY ST,BROOKLYN NY,11233",-73.9295395,40.6840122
"100","ZABB ELEE","75 2 AVENUE,MANHATTAN NY,10003",-73.9895053,40.7265738
"101","ZABB ELEE","7128 ROOSEVELT AVENUE,QUEENS NY,11372",-73.896875,40.745989
"102","ZABB CITY","244 EAST   13 STREET,MANHATTAN NY,10003",-73.9860978,40.7317909
"103","ZAAZ PIZZA","766 CLASSON AVE,BROOKLYN NY,11238",-73.9607308,40.6736999
"104","ZA ZABOROM","3701 MERMAID AVENUE,BROOKLYN NY,11224",-74.0032976,40.5748089
"105","Z-TWO DINER & LOUNGE","2925 VETERANS ROAD WEST,STATEN ISLAND NY,10309",-74.230729,40.527271
"106","Z-ONE DINER & LOUNGE","1821 RICHMOND AVENUE,STATEN ISLAND NY,10314",-74.1620835,40.6042812
"107","Z HOTEL","1101 43 AVENUE,QUEENS NY,11101",-73.9282405,40.7460682
"108","Z BAR","2612 HOYT AVE S,QUEENS NY,11102",-73.920622,40.772076
"109","YVONNE YVONNE RESTAURANT","301 WEST  135 STREET,MANHATTAN NY,10030",-73.9465591,40.8165417
"110","YUZU","350 LENOX AVE,MANHATTAN NY,10027",-73.9441654,40.8094239
"111","YUVA FRONTIER INDIAN GRILL","230 EAST   58 STREET,MANHATTAN NY,10022",-73.9658905,40.7601798
"112","YURI SUSHI","374 W 46TH ST,MANHATTAN NY,10036",-73.9905512,40.7607674
"113","YURA'S BLUE PLATE","2248 1ST AVE,MANHATTAN NY,10029",-73.9353633,40.7955605
"114","YURA & COMPANY ON MADISON","1292 MADISON AVENUE,MANHATTAN NY,10128",-73.9563202,40.7846507
"115","YUPDDUK","15722 NORTHERN BLVD,QUEENS NY,11354",-73.8076394,40.7633767
"116","YUNNAN KITCHEN","79 CLINTON STREET,MANHATTAN NY,10002",-73.9852922,40.718932
"117","YUNG SUN SEAFOOD RESTAURANT","47 EAST BROADWAY,MANHATTAN NY,10002",-73.9958098,40.7133878
"118","YUNG HSIN RESTAURANT","147577 BEACH AVENUE,BRONX NY,10460",-73.86729,40.8377675
"119","YUN NAN FLAVOUR GARDEN","5121 8TH AVENUE,BROOKLYN NY,11220",-74.0045852,40.6400007
"120","YUMMY YUMMY KITCHEN","4122 4 AVENUE,BROOKLYN NY,11232",-74.0080433,40.6512947
"121","YUMMY YUMMY GURMET INC","271 PORT RICHMOND AVE,STATEN ISLAND NY,10302",-74.135384,40.63473
"122","YUMMY YUMMY EXPRESS","5273 65 PLACE,QUEENS NY,11378",-73.8999324,40.731559
"123","YUMMY YUMMY CHINESE RESTAURANT","13206 CROSSBAY BOULEVARD,QUEENS NY,11417",-73.844126,40.676531
"124","YUMMY YUMMY CHINESE RESTAURANT","153-29 ROCKAWAY BLVD,QUEENS NY,11434",-73.7827798,40.66982
"125","YUMMY YUMMY BROOKLYN","1349 ROCKAWAY PARKWAY,BROOKLYN NY,11236",-73.9039559,40.646969
"126","YUMMY THAI","4959 BROADWAY,MANHATTAN NY,10034",-73.9206216,40.8681573
"127","YUMMY TACO BROOKLYN","3606 CLARENDON ROAD,BROOKLYN NY,11203",-73.9427165,40.6434021
"128","YUMMY TACO","9625 AVENUE L,BROOKLYN NY,11236",-73.8955412,40.6387742
"129","YUMMY TACO","1082 BAY STREET,STATEN ISLAND NY,10305",-74.0681642,40.6164982
"130","YUMMY TACO","4814 BROADWAY,QUEENS NY,11103",-73.912289,40.7556058
"131","YUMMY TACO","129 CHURCH AVE,BROOKLYN NY,11218",-73.9784699,40.6433915
"132","YUMMY TACO","8011 FLATLANDS AVE,BROOKLYN NY,11236",-73.9131373,40.6359136
"133","YUMMY TACO","221-07 JAMAICA AVE,QUEENS NY,11428",-73.7328481,40.7199252
"134","YUMMY TACO","22715 MERRICK BLVD,QUEENS NY,11413",-73.7424816,40.6770507
"135","YUMMY TACO","11404 SUTPHIN BLVD,QUEENS NY,11434",-73.7939484,40.6860815
"136","YUMMY TACO","774 WASHINGTON AVE,BROOKLYN NY,11238",-73.963401,40.6748743
"137","YUMMY TACO","52 WILLOUGHBY STREET,BROOKLYN NY,11201",-73.9868138,40.6920082
"138","YUMMY SZECHUAN HOUSE","4026 UNION ST,QUEENS NY,11354",-73.8263458,40.7596056
"139","Yummy Sushi House","135-11 38TH AVE,QUEENS NY,11354",-73.8322516,40.7604936
"140","YUMMY SUSHI & FALAFEL","736 WEST  181 STREET,MANHATTAN NY,10033",-73.9376628,40.8505367
"141","YUMMY SUSHI","1758 1 AVENUE,MANHATTAN NY,10128",-73.9465567,40.7800697
"142","YUMMY SUSHI","30 ROCKFEELLER PLAZA,MANHATTAN NY,10020",-73.9781152,40.7587518
"143","YUMMY MACHI","2236 FOREST AVE,STATEN ISLAND NY,10303",-74.1642145,40.6262638
"144","YUMMY KITCHEN/CHEUNG WONG KITCHEN","38 ALLEN STREET,MANHATTAN NY,10002",-73.9917558,40.7159353
"145","YUMMY KITCHEN","9021 31 AVENUE,QUEENS NY,11369",-73.8778569,40.760308
"146","YUMMY HOUSE","14420 45TH AVE,QUEENS NY,11355",-73.8171,40.7544626
"147","Yummy House","2452 EASTCHESTER RD,BRONX NY,10469",-73.8432428,40.8624635
"148","YUMMY FRIED CHICKEN, PIZZA & GRILL","16720 HILLSIDE AVENUE,QUEENS NY,11432",-73.7911345,40.7113372
"149","YUMMY DIM SUM","135-46 ROOSEVELT AVE,QUEENS NY,11354",-73.8304814,40.7594306
"150","YUMMY CITY","1557 LEXINGTON AVENUE,MANHATTAN NY,10029",-73.9490881,40.7879894
"151","YUMMY CHINESE RESTAURANT","1717 CORNELIA ST,QUEENS NY,11385",-73.9054701,40.7003483
"152","YUMMY CHINESE RESTAURANT","1195 FLATBUSH AVE,BROOKLYN NY,11226",-73.9558825,40.6410172
"153","YUMMY CHINESE KITCHEN","1811 RANDALL AVE,BRONX NY,10473",-73.8623506,40.8171013
"154","YUMMY BAKERY","5010 8TH AVE,BROOKLYN NY,11220",-74.004148,40.641015
"155","YUMMY ASIAN FOOD","226 E 3RD ST,MANHATTAN NY,10009",-73.9821623,40.7221299
"156","YUM YUMMY CHINESE RESTAURANT","1624A EAST 16TH STREET,BROOKLYN NY,11229",-73.9576663,40.609829
"157","YUM YUM TOO","662 9 AVENUE,MANHATTAN NY,10036",-73.9904652,40.7609904
"158","YUM YUM QUEENS","4301 QUEENS BOULEVARD,QUEENS NY,11104",-73.9212221,40.743806
"159","YUM YUM EASTERN","3279 RICHMOND AVE,STATEN ISLAND NY,10312",-74.1685967,40.5594924
"160","YUM YUM CHINESE RESTAURANT","1778 FOREST AVE,STATEN ISLAND NY,10303",-74.1481832,40.6249814
"161","YUM YUM BANGKOK 3","658 9TH AVE,MANHATTAN NY,10036",-73.9906251,40.7608035
"162","YUM YUM BANGKOK","650 9TH AVE,MANHATTAN NY,10036",-73.9906936,40.7606016
"163","YUM YUM BAKERY","1703 AVE U,BROOKLYN NY,11229",-73.95431,40.599305
"164","YUKA RESTAURANT","1557 2ND AVE,MANHATTAN NY,10028",-73.9544386,40.7746145
"165","YUKA JAPANESE RESTAURANT","1557 2 AVENUE,MANHATTAN NY,10028",-73.9544386,40.7746145
"166","YUE LAI BAKERY","137 EAST BROADWAY,MANHATTAN NY,10002",-73.9915322,40.7137157
"167","YUCA BAR & RESTAURANT","111 AVENUE A,MANHATTAN NY,10009",-73.9836212,40.7262059
"168","YUBA","105 EAST    9 STREET,MANHATTAN NY,10003",-73.990051,40.7305377
"169","YUAN BAO 50","4924 8TH AVE,BROOKLYN NY,11220",-74.003861,40.6413231
"170","YU SUSHI BAR","133-44 37TH AVENUE,QUEENS NY,11354",-73.8333431,40.7605342
"171","YU SUSHI","827 WEST  181 STREET,MANHATTAN NY,10033",-73.9395157,40.8514155
"172","YU KING BAKERY","2335 86 STREET,BROOKLYN NY,11214",-73.9905922,40.6002709
"173","YU GARDEN DUMPLING HOUSE","4620 KISSENA BLVD,QUEENS NY,11355",-73.818825,40.749953
"174","YSEB KOREAN CHINEASE RESTAURANT","150-05 NORTHERN BLVD,QUEENS NY,11354",-73.8148804,40.7652472
"175","YOZ SHANGHAI (BOOTH 20)","13620 ROOSEVELT AVE,QUEENS NY,11354",-73.8290939,40.759362
"176","YOZ SHANGHAI","4128 MAIN STREET,QUEENS NY,11355",-73.829437,40.757178
"177","YOYO DESSERT# 6","133-35 ROOSEVELT AVENUE,QUEENS NY,11354",-73.8331317,40.7588187
"178","YOURS TRULY","8 SPRING ST,MANHATTAN NY,10012",-73.994496,40.720985
"179","YOURS & MINE RESTAURANT","841 EMPIRE BOULEVARD,BROOKLYN NY,11213",-73.9342073,40.6637545
"180","YOUR WAY CAFE","17 WILSON AVE,BROOKLYN NY,11237",-73.9301206,40.7034197
"181","YOUR HOUSE CAFE","6916 4 AVENUE,BROOKLYN NY,11209",-74.023927,40.6343087
"182","YOUR DALEY BREAD","1303 E GUN HILL RD,BRONX NY,10469",-73.8481522,40.871634
"183","YOUR BAKERY","518 86 STREET,BROOKLYN NY,11209",-74.0258977,40.6209872
"184","YOUNG SOLDIERS RESTAURANT","22910C MERRICK BLVD,QUEENS NY,11413",-73.7548307,40.6802989
"185","YOU YI CHINESE RESTAURANT","4605 CHURCH AVENUE,BROOKLYN NY,11203",-73.934011,40.651824
"186","YOSWEETS","8410 5TH AVE,BROOKLYN NY,11209",-74.0257176,40.6227115
"187","YOSSIS GLATT SUSHI","5221 FORT HAMILTON PKWY,BROOKLYN NY,11219",-74.0001802,40.6364694
"188","YOSMIRA RESTAURANT","13109 JAMAICA AVENUE,QUEENS NY,11418",-73.8208487,40.7021254
"189","YOSHI SUSHI","131 AVENUE A,MANHATTAN NY,10009",-73.9831168,40.7269451
"190","YOSHI MODERN JAPANESE CUISINE","5827 AVENUE T,BROOKLYN NY,11234",-73.9179184,40.6156353
"191","YORKAFE","50112 EAST   83 STREET,MANHATTAN NY,10028",-73.9533614,40.7759634
"192","YORK COLLEGE CAFETERIA","9420 GUY R BREWER BOULEVARD,QUEENS NY,11451",-73.7953162,40.7021631
"193","YORK CHAN RESTAURANT","744 NEW LOTS AVE,BROOKLYN NY,11207",-73.882857,40.666044
"194","Yorganic","275 GREENWICH STREET,MANHATTAN NY,10007",-74.0108719,40.7151628
"195","YORGANIC","3 HANOVER SQUARE,MANHATTAN NY,10004",-74.0096836,40.7047514
"196","YORGANIC","89 WASHINGTON ST,MANHATTAN NY,10006",-74.0142768,40.7076215
"197","YOPPARAI","151 RIVINGTON STREET,MANHATTAN NY,10002",-73.985732,40.719125
"198","YOOJUNG NAKJI","17103 NORTHERN BLVD,QUEENS NY,11358",-73.7955777,40.7580305
"199","YOOGLERS FROZEN YOGURT","791 BROADWAY,MANHATTAN NY,10003",-73.991613,40.7320773
"200","YOOBERRY FROZEN YOGURT","1501 SHEEPSHEAD BAY ROAD,BROOKLYN NY,11235",-73.9538401,40.5874024
"201","YOO EVERGREE SALAD AND SANDWICHES","504A E 98TH ST,BROOKLYN NY,11212",-73.9137019,40.6563681
"202","YONG SHENG RESTAURANT","2825 8 AVENUE,MANHATTAN NY,10039",-73.9394277,40.8262906
"203","YONG SHENG CHINESE RESTAURANT","11919 101 AVENUE,QUEENS NY,11419",-73.8252148,40.6903357
"204","YONEKICHI","238A E 9TH ST,MANHATTAN NY,10003",-73.9879562,40.7293204
"205","YONAH SHIMMELS KNISHES","137 EAST HOUSTON STREET,MANHATTAN NY,10002",-73.9901433,40.7231204
"206","Yomi Station","4335 91ST PLACE,QUEENS NY,11373",-73.8732237,40.742249
"207","YOMARIS RESTAURANT","234 4 AVENUE,BROOKLYN NY,11215",-73.9836177,40.6770752
"208","YOLIE'S BAR & RESTAURANT","5722 CLARENDON ROAD,BROOKLYN NY,11203",-73.9223689,40.6448615
"209","YOLI RESTAURANT","274 EAST    3 STREET,MANHATTAN NY,10009",-73.9804528,40.7213786
"210","YOLANDA RESTAURANT","188 JAMAICA AVE,BROOKLYN NY,11207",-73.8929177,40.6801245
"211","YOLANDA PIZZERIA RESTAURANT","292 EAST  149 STREET,BRONX NY,10451",-73.9218941,40.8169857
"212","YOLA'S CAFE","524 METROPOLITAN AVENUE,BROOKLYN NY,11211",-73.9511871,40.7138684
"213","YOKOHAMA JAPANESE RESTAURANT","438 W 238TH ST,BRONX NY,10463",-73.9047257,40.8871033
"214","YOGURTLAND","1275 1 AVENUE,MANHATTAN NY,10065",-73.9577598,40.7657667
"215","YOGURTLAND","795 COLUMBUS AVENUE,MANHATTAN NY,10025",-73.9659743,40.794327
"216","YOGURTBERRY","4401 QUEENS BOULEVARD,QUEENS NY,11104",-73.9202676,40.7437107
"217","YOGURTBERRY","8120 ROOSEVELT AVE,QUEENS NY,11372",-73.8799003,40.748079
"218","Yogurt Y23 Inc","423 KINGSTON AVE,BROOKLYN NY,11225",-73.942386,40.66446
"219","YOGURT LA CREPE","2902 DITMARS BLVD,QUEENS NY,11105",-73.9117677,40.7765762
"220","YOGURT IN LOVE","160 PEARL ST,MANHATTAN NY,10005",-74.0074865,40.7057353
"221","YOGURT DOWN UNDER","990 ROSSVILLE AVENUE,STATEN ISLAND NY,10309",-74.212501,40.5512508
"222","YOGURT COUTURE","21267A 26TH AVE,QUEENS NY,11360",-73.7768914,40.7789643
"223","YOGURT CITY","6301 8 AVENUE,BROOKLYN NY,11220",-74.011352,40.633347
"224","YOGURT CITY","682 ARTHUR KILL ROAD,STATEN ISLAND NY,10308",-74.1641406,40.559529
"225","Yogurt City","2510 HYLAN BLVD,STATEN ISLAND NY,10306",-74.1094482,40.5698876
"226","YOGURT CITY","3449 JUNCTION BLVD,QUEENS NY,11372",-73.871661,40.753698
"227","YOGURT & COMPANY","7003 MYRTLE AVE,QUEENS NY,11385",-73.880871,40.702133
"228","YOGORINO","657 BROADWAY,MANHATTAN NY,10012",-73.9957003,40.7270537
"229","YOGI RESTAURANT","10826 GUY R BREWER BOULEVARD,QUEENS NY,11433",-73.7909251,40.695812
"230","YOFRESH YOGURT CAFE","5456 MYRTLE AVE,QUEENS NY,11385",-73.8909462,40.7011125
"231","YOFRESH NEW YORK","4724 5TH AVE,BROOKLYN NY,11220",-74.009321,40.6464471
"232","YO-YO FRITAILLE","1758 NOSTRAND AVENUE,BROOKLYN NY,11226",-73.949016,40.642926
"233","YO-BURGER","3726 RIVERDALE AVENUE,BRONX NY,10463",-73.9067871,40.8873582
"234","YO SWEETS","756 W 181ST ST,MANHATTAN NY,10033",-73.9379462,40.85067
"235","YO ANGEL BAKERY","1807 WESTCHESTER AVENUE,BRONX NY,10472",-73.8661262,40.8321532
"236","YN","227 MOTT STREET,MANHATTAN NY,10012",-73.9953797,40.722505
"237","YMC GOOD TASTE CHINESE RESTAURANT","47-05 FRANCIS LEWIS BOULEVARD,QUEENS NY,11361",-73.7803055,40.7531171
"238","YJ CHINESE CUISINE","46-26 KISSENA BOULEVARD,QUEENS NY,11355",-73.8186006,40.7499535
"239","YIYI RANG","19210 NORTHERN BOULEVARD,QUEENS NY,11358",-73.7889837,40.7576255
"240","YIP'S RESTAURANT","18 BEAVER STREET,MANHATTAN NY,10004",-74.0123928,40.7048111
"241","YIP SZECHUAN RESTAURANT","6541 MYRTLE AVENUE,QUEENS NY,11385",-73.8892574,40.7014198
"242","YIASOU","2003 EMMONS AVENUE,BROOKLYN NY,11235",-73.948175,40.5839432
"243","YIAOURTI","52 GANSEVOORT ST,MANHATTAN NY,10014",-74.0070333,40.7392072
"244","YI ZHANG FISHBALL & SNACKS RESTAURANT","41 MONROE ST,MANHATTAN NY,10002",-73.994535,40.7116796
"245","YI ZHANG FISHBALL","9 ELDRIDGE STREET,MANHATTAN NY,10002",-73.9939435,40.7146791
"246","YI MIN KITCHEN","3821 FT HAMILTON PARKWAY,BROOKLYN NY,11218",-73.9900993,40.6431645
"247","YI MEI YUM GOURMET","51 DIVISION STREET,MANHATTAN NY,10002",-73.9950932,40.7141237
"248","YI LAN HALAL RESTAURANT","4279 MAIN STREET,QUEENS NY,11355",-73.8271286,40.7532691
"249","YI HONG RESTAURANT","9103 AVENUE L,BROOKLYN NY,11236",-73.899778,40.6360412
"250","YI CAFE","6415 11TH AVE,BROOKLYN NY,11219",-74.005573,40.6287433
"251","YES GARDEN","183 BROAD ST,STATEN ISLAND NY,10304",-74.0809593,40.6243738
"252","YERBA BUENA","23 AVENUE A,MANHATTAN NY,10009",-73.9860106,40.7229309
"253","YERBA BUENA","57 GREENWICH AVENUE,MANHATTAN NY,10014",-74.0011238,40.7359326
"254","YER MAN'S IRISH PUB","7026 88 STREET,QUEENS NY,11385",-73.8647486,40.71005
"255","YEMEN RESTAURANT","6726 5TH AVE,BROOKLYN NY,11220",-74.0206368,40.6348884
"256","YEMEN CUISINE","145 COURT STREET,BROOKLYN NY,11201",-73.9922551,40.6892272
"257","YEMEN CAFE & RESTAURANT","176 ATLANTIC AVENUE,BROOKLYN NY,11201",-73.9936966,40.6898426
"258","YEMEN ALSAED CAFE","7130 5 AVENUE,BROOKLYN NY,11209",-74.0218424,40.6319661
