"","name","artist","from_date","to_date","location","description","borough","show_large_image","lat","lng","active"
"1","Untitled","Gabriel Sierra","2017-09-04","2017-09-05","Various Locations","<p>Colombia-based artist Gabriel Sierra will present a site-specific intervention that responds directly to the High Line's design. The artist will extend some of the High Line's iconic architectural elements - the concrete planks that form the pathway - in various locations along the park, creating a visual composition that will challenge one's perception of the High Line.</p>

<p>This exhibition is presented by the <a href=""http://www.thehighline.org/about/public-art"">Friends of the High Line</a>.</p>","M","1","40.74578","-74.0054","0"
"2","In Flight","Jade Chan","2013-07-01","2018-12-31","Shorefront Parkway between Beach 77 Street and Beach 107 Street","<p>The Rockaway Barrier Beautification Project is the longest mural in New York City, covering a 1.5 mile stretch of road along the beach in Rockaway, Queens.  NYC Parks invited artists and designers to envision the surface of these ordinary barriers as canvases for art. Members of the community helped to select the top three designs that grace the surface of these barriers and paint the murals.</p>
 
<p>This project was made possible thanks to a partnership between NYC Parks and the NYC Department of Transportation, the Community Affairs Unit (CAU) of the Office of the Mayor, NYC Service, and community groups, including the Rockaway Beach Civic Association, Rockaway Artists Alliance, and Friends of Rockaway Beach. Benjamin Moore generously donated 420 gallons of paint to the MayorÂ??s Fund to Advance New York City for this initiative.</p>
 
<p>Jade Chan's design for the Rockaway barriers is titled In Flight. When she visited Rockaway Beach, she was inspired by the warmth, the sun and the colors that jumped out at her from the sky, water and sand. The sound of the surf and the breeze upon her skin was exhilarating. She observed the birds in flight and was inspired by this free and liberating vision. Chan sees In Flight as a representation of the freedom and strength of the human spirit. </p><p>Learn more about the <a href=""/art-and-antiquities/rockaway-beautification"">Rockaway Barrier Beautification Project</a>.</p>","Q","1","40.5882","-73.8119","1"
"3","Ride the Wave","Patty Harris","2013-07-01","2018-12-31","Shorefront Parkway, Between Beach 74 Street and Beach 107 Street","<p>The Rockaway Barrier Beautification Project is the longest mural in New York City, covering a 1.5 mile stretch of road along the beach in Rockaway, Queens.  NYC Parks invited artists and designers to envision the surface of these ordinary barriers as canvases for art. Members of the community helped to select the top three designs that grace the surface of these barriers and paint the murals.</p>
 
<p>This project was made possible thanks to a partnership between NYC Parks and the NYC Department of Transportation, the Community Affairs Unit (CAU) of the Office of the Mayor, NYC Service, and community groups, including the Rockaway Beach Civic Association, Rockaway Artists Alliance, and Friends of Rockaway Beach. Benjamin Moore generously donated 420 gallons of paint to the Mayor’s Fund to Advance New York City for this initiative.</p>
 
<p>As an artist, Patty Harris has created animations of floods and is fascinated by the way water moves. Experienced in looking closely at the sea, she pulled a few simple forms that suggest the movement and pattern of a wave. For the Shore Parkway barrier, Patty painted shapes that express the undulating movement of a wave. She added curved shapes that hold water of a slightly different color—just as actual water displays a range of hues. To this rhythmical simple pattern, Harris included the silhouetted forms of surfers at the crests of the waves.</p>

<p>Learn more about the <a href=""/art-and-antiquities/rockaway-beautification"">Rockaway Barrier Beautification Project</a>.</p>","Q","1","40.5882","-73.8119","1"
"4","Untitled","John Garcia","2013-07-01","2018-12-31","Shorefront Parkway, Between Beach 74 Street and Beach 107 Street","<p>The Rockaway Barrier Beautification Project is the longest mural in New York City, covering a 1.5 mile stretch of road along the beach in Rockaway, Queens.  NYC Parks invited artists and designers to envision the surface of these ordinary barriers as canvases for art. Members of the community helped to select the top three designs that grace the surface of these barriers and paint the murals.</p>
 
<p>This project was made possible thanks to a partnership between NYC Parks and the NYC Department of Transportation, the Community Affairs Unit (CAU) of the Office of the Mayor, NYC Service, and community groups, including the Rockaway Beach Civic Association, Rockaway Artists Alliance, and Friends of Rockaway Beach. Benjamin Moore generously donated 420 gallons of paint to the MayorÂ??s Fund to Advance New York City for this initiative.</p>
 
<p>As a surf regular of Rockaway Beach, John Garcia pays tribute to Rockaway BeachÂ??s surf culture in his barrier mural. He has painted images of Rockaway surfers riding waves, along with the birds that often keep them company on the water and on the shore. These images of birds and surfers sit on top of an aquatic abstract backdrop that captures the mystery and beauty of the ocean. The barriers also include the text Â??Welcome to the RockawaysÂ?Â as an invitation for others to experience the waves and serenity of Rockaway Beach.</p>

<p>Learn more about the <a href=""/art-and-antiquities/rockaway-beautification"">Rockaway Barrier Beautification Project</a>.</p>","Q","1","40.5882","-73.8119","1"
"5","Toro","Allen Glatter","2015-04-17","2016-03-20","character(0)","<p>“At first  sight, the sculpture of Allen Glatter might appear to be a literal take on Paul  Klee’s remark that a drawing is simply a line going on a walk. Each work,  including Toro, takes the form of a continuous curve zigzagging through space,  rising from the ground to above eye level and traversing the better part of a  gallery room, or in the case of the outdoor work, a sidewalk. Constructed from  seamlessly joined steel tubing, uniform in diameter, the freestanding  sculptures simultaneously gather and perforate the spaces around them. Walking  around the work produces a pleasant feeling that seems to derive from a rhythm  of anticipation and surprise; despite the few formal elements involved, the  overall experience varies radically from one vantage point to another. Each  sculpture has a definite axis, and when viewed in that direction, the piece  tends to open up into a number of loop windows. Though there are many changes  of direction in its path, the curve is less of a meandering walk than a sequence  of turns, an itinerary.” </p>
<p>Excerpted  from a text by Philip Ording.</p>
<p> This exhibit is sponsored by New York Foundation for the  Arts.</p>","M","1","40.7147","-73.98329","1"
"6","Fictitious Force","Beka Goedde","2015-04-20","2016-04-19","character(0)","<p>Constructed from nearly 1,000 colorfully dyed concrete  tiles, <em>Fictitious Force</em> is a  temporary public art installation by artist Beka Goedde embedded in the lawn of  the Old Stone House & Washington Park. The piece is arranged in concentric  circles to resemble an early American hooked or braided rug, and intended to be  trod upon like paving stones. This historic site of the American Revolution is  particularly suited to host a work that references traditional American craft.  While meditative and still, the pattern of the piece conveys a sense of  movement that echoes the energy of the nearly 3,000 people attracted to the  park daily.</p>
<p>Fictitious Force is presented with <a href=""http://theoldstonehouse.org/"">The Old Stone House & Washington Park</a>.  This exhibit is sponsored, in part, by the  Greater New York Arts Development Fund of the New York City Department of  Cultural Affairs, administered by Brooklyn Arts Council (BAC).</p>","B","1","40.67302","-73.98415","1"
"7","Panorama","Various Artists","2015-04-23","2016-05-31","character(0)","<p><em>Panorama</em> is an  open-air exhibition that takes inspiration from the High Line as an urban park  cutting straight through the city, creating new vistas and vantage points onto  the surrounding natural and man-made landscapes. The High Line is the ideal  stage for this series of sculptures and installations, all of which explore the  act of seeing and understanding the spectacle of nature. The exhibition  challenges historical notions of the sublime, quasi-religious experiences of  “untouched” nature, and the debate on the manicured versus the ostensibly  natural garden, opening up the possibility for experiencing nature in its  necessarily human-impacted state. *Olafur Eliasson’s The Collectivity Project  will be on view from mid-May to mid-September 2015. </p>
<p>Panorama will feature eleven international artists: Mariana  Castillo Deball, Olafur Eliasson, Elmgreen & Dragset, Ryan Gander, Kris  Martin, DamiÁn Ortega, Gabriel Sierra, KatrÍn SigurÐardÓttir, Yutaka Sone, Kaari  Upson, Andro Wekua, </p>
<p>This exhibition is presented by the<a href=""http://art.thehighline.org/project/panorama/""> Friends of the High Line.</a></p>","M","1","character(0)","character(0)","1"
"8","Fat Boy","Leonard Ursachi","2015-05-01","2016-04-15","character(0)","<p>The latest in Ursachi’s decades-long “bunker” series, Fat  Boy is an oversized head embedded with three recessed bunker windows fitted  with mirrors instead of glass. Measuring 9.5 feet tall and 8.5 feet wide, the  artwork was carved from styrofoam and covered in a weatherproof, cementitious  material. Fat Boy is Ursachi’s first bunker sculpture in the form of a head.  His previous bunkers, one of which was on view in at the entrance of Prospect  Park off Grand Army Plaza in 2007, have been cylindrical and made with a  variety of materials such as turkey feathers, willow branches, and ceramic  tiles. “My bunkers reference not only war but also nests, shelter and refuge. They  are as much about longing for home as they are about conflict, ” states  Ursachi. </p>
<p>  Fat Boy is based on a classical Western putto, or male child  often depicted in Renaissance and Baroque artworks. “Since antiquity,” says the  artist, “putti have been malleable signifiers, representing, among other  things, Eros, panic, abandon, and joy.” Fat Boy’s title derives not only from  his plump, cherubic face, but also from the WWII atomic bombs, Little Boy and  Fat Man, giving the sculpture twin references to Eros and war. </p>
<p>  Fat Boy was first exhibited at the John & Mable Ringling  Museum of Art in Sarasota, Florida, which is a partial sponsor of this exhibit.  The exhibition is also in partnership with the <a href=""http://www.prospectpark.org/"">Prospect Park Alliance</a>. </p>","B","1","character(0)","character(0)","1"
"9","Blocks","Rashid Johnson","2015-05-01","2016-03-31","character(0)","<p>Inspired by a childhood steeped in African American cultural  influences, Rashid Johnson creates layered artworks that engage a conversation  between personal biography and the implied gravitas of larger cultural and  historical narratives. Johnson works predominantly in mixed media sculptures  and paintings, combining bare materials such as mirror, wood, and shea butter  with loaded iconic objects including record covers, CB radios, historical  books, and common domestic objects. Throughout his career, Johnson has explored  the ways in which we form our sense of belonging to races and communities,  investigating the relationship between familiar objects and identity.</p>
<p>For his High Line Commission, Johnson built one of his minimalist  three-dimensional steel black grids, which houses a variety of objects  including busts painted to resemble shea butter (a material commonly used by  the artist), and acts as a living greenhouse as plants on the High Line begin  to intertwine with the sculpture over the year of its installation. Playing  with forms taken from the Minimalist tradition – Sol LeWitt’s white open cubes  come to mind – Johnson turns them into a reflection on blackness by breaking  the rational structure open and embedding loaded objects within it.</p>
<p>Installed in an oblong island of plants growing between pathways on the  High Line just south of The Standard, High Line, the sculpture will change over  the course of its installation, the empty rectilinear vessel becoming a  horticultural container as the seasons pass. The work reflects the artist’s  ongoing interest in a line from a book by Lawrence Weiner called “Something to  Put Something On,” in which the concept “table” is explained as “something to put  something on.” This semiotic explication resonates with Johnson, who pushes its  implications toward thinking about the ways in which lives, cultures, and  historical arcs are a mere practice of putting some things on top other things  that are imagined to be taken as given, such as the exemplary case of the  table.</p>
<p> This exhibition is presented by  the <a href=""http://art.thehighline.org/project/rashidjohnson/"">Friends of the  High Line</a>. </p>","M","1","character(0)","character(0)","1"
"10","Don Gummer on Broadway","Don Gummer","2015-05-04","2016-03-31","character(0)","<p><em>Don Gummer on Broadway</em> will highlight five examples of new work from Gummer’s haiku series, created in  2014 and 2015, which will be shown for the first time and were created  especially for this exhibition. Four additional works dating from 2011 and 2012  will also be included in the exhibition. The sculptures range in height from  eight feet to 14 feet.</p>
<p>“I first became interested in haiku poems because of the  simplicity of their structure,” stated the artist. “Three lines stacked  together containing 17 syllables. Five in the first line, seven in the middle,  and five in the third line. I thought of substituting shapes for the syllables  and instead of writing a poem with three sentences and 17 syllables, I made a  sculpture with three vertical sections and 17 shapes, five in the bottom  section, seven in the middle, and five in the top section. The three sections  are separated by horizontal, linear flat rectangles, my version of lined paper.</p>
<p>“I thought that making a series of sculptures that shared a  common structural theme would unite them along their shared route on Broadway.  I also wanted to see how much variety I could create within a given set of  rules. Five sculptures are based on the haiku idea and the other four  sculptures have similar stacked elements, and I think they structurally relate  to the others.”</p>
<p>A cell phone tour, in English and Spanish, which will  include the artist’s commentary, is funded by Con Edison.</p>
<p>The exhibition includes: <em>12-12-12</em> at Columbus Circle; <em>Mondrian</em> at Dante  Square; <em>Complex Apartment</em> at 72nd  Street; <em>Figure 8 </em>at 79th  Street; <em>Open House</em> at 96th  Street; <em>High Rise</em> at 103rd  Street; <em>Open Eyes</em> at 117th  Street; <em>Intersection</em> at Montefiore  Square, <em>After Rome </em>at 157th  Street. </p>
<p>This exhibition is presented by the <a href=""http://www.broadwaymall.org/"">Broadway Malls Association</a> and <a href=""http://themorrisongallery.com/"">Morrison Gallery</a>. </p>","M","1","character(0)","character(0)","1"
