,name,phone,address,closing,rates,specials
1,American Folk Art Museum,212-265-1040,45 W. 53rd St. (at Fifth Ave.),Closed: Monday,"admission: $9; seniors/students, $7; under 12, free",Pay-what-you-wish: Friday after 5:30pm; refreshments and music available
2,American Museum of Natural History,212-769-5200,Central Park West (at W. 79th St.),Closed: Thanksgiving Day and Christmas Day,"suggested admission: $16; seniors/students, $12; kids 2&ndash;12, $9; under 2, free",character(0)
3,Asia Society and Museum,212-288-6400,725 Park Ave. (at E. 70th St.),Closed: Monday and federal holidays,"admission: $10; seniors, $7; students, $5; under 16, free",Pay-what-you-wish: Friday from 6 to 9pm (September to June); refreshments available
4,The Bronx Museum of the Arts,718-681-6000,1040 Grand Concourse,"Closed: Monday through Wednesday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $5; seniors/students, $3; children, free",Pay-what-you-wish: Friday (excluding groups); refreshments available
5,Bronx Zoo,718-367-1010,Bronx River Parkway and Fordham Road,"Closed: New Year's Day, Martin Luther King Jr. Day, Thanksgiving Day and Christmas Day","admission: $15; seniors, $13; children 3&ndash;12, $11; under 2, free",Pay-what-you-wish: Wednesday (excluding special exhibitions/rides)
6,Brooklyn Botanic Garden,718-623-7200,1000 Washington Ave. (bet. Crown and Montgomery Sts.),Closed: Monday (except federal holidays),"admission: $8; seniors/students, $4; under 12, free",Free: Tuesday through Saturday from 10am to noon (excluding major public programs)
7,Brooklyn Children's Museum,718-735-4400,145 Brooklyn Ave. (at St. Marks Ave.),"Closed: Monday (June 29&ndash;September 4, 2010); Monday and Tuesday (September 5, 2010&ndash;June 28, 2011)",admission: $7.50,character(0)
8,Brooklyn Museum,718-638-5000,200 Eastern Pkwy. (at Washington Ave.),"Closed: Monday and Tuesday and New Year's Day, Thanksgiving Day and Christmas Day","suggested contribution: $10; seniors/students, $6; under 12, free",Target-sponsored free admission: First Saturday of each month from 5 to 11pm
9,Children's Museum of Manhattan,212-721-1223,212 W. 83rd St. (bet. Broadway and Amsterdam Ave.),Closed: Monday,"admission: $10; seniors, $7; under 1, free",Target-sponsored free admission: First Friday of each month from 5 to 8pm
10,The Cloisters Museum &amp; Gardens,212-923-3700,"Fort Tryon Park, 99 Margaret Corbin Drive","Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","suggested admission: $20; seniors, $15; students, $10; under 12, free (admission includes same-day entry to The Metropolitan Museum of Art)",character(0)
11,"Cooper-Hewitt, National Design Museum",212-849-8400,2 E. 91st St. (at Fifth Ave.),"Closed: New Year's Day, Thanksgiving Day and Christmas Day","admission: $15; seniors/students, $10; under 12, free",character(0)
12,El Museo del Barrio,212-831-7272,1230 Fifth Ave. (bet. E. 104th and E. 105th Sts.),"Closed: Monday and Tuesday and New Year's Day, Fourth of July, Thanksgiving Day and Christmas Day","admission: $9; seniors/students, $5; members/under 12, free",Free: Wednesday (for seniors)
13,The Frick Collection,212-288-0700,1 E. 70th St. (at Fifth Ave.),Closed: Monday,"admission: $18; seniors, $12; students, $5; under 10 not admitted",Pay-what-you-wish: Sunday from 11am to 1pm
14,"Guggenheim Museum, Solomon R.",212-423-3500,1071 Fifth Ave. (bet. E. 88th and E. 89th Sts.),Closed: Thursday,"admission: $18; seniors/students, $15; under 12, free",Pay-what-you-wish: Saturday from 5:45 to 7:45pm; refreshments available
15,International Center of Photography,212-857-0000,1133 Sixth Ave. (at W. 43rd St.),"Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $12; seniors/students, $8; under 12, free",Pay-what-you-wish: Friday from 5 to 8pm; refreshments available
16,"Intrepid Sea, Air &amp; Space Museum",877-957-SHIP (7447),Pier 86 (Twelfth Ave. and W. 46th St.),Closed: Thanksgiving Day and Christmas Day,"admission: $24; seniors (62+)/college students (with ID), $20; kids 3&ndash;17, $19; veterans, $17; under 2 and active-duty/retired military, free",character(0)
