"","NAME","lat","lng","NTAName","spot_type"
"1","Alexander Hamilton U.S. Custom House",40.703816216918,-74.0137557951974,"Battery Park City-Lower Manhattan","theater"
"2","Alice Austen House Museum",40.6151208377554,-74.0630317885511,"Stapleton-Rosebank","theater"
"3","American Folk Art Museum",40.7616249713855,-73.9781030211,"Midtown-Midtown South","theater"
"4","American Museum of Natural History",40.7808262345764,-73.9736481637782,"Upper West Side","theater"
"5","Anne Frank Center USA",40.7211274494767,-73.9996303690309,"SoHo-TriBeCa-Civic Center-Little Italy","theater"
"6","Bartow-Pell Mansion",40.8717783167827,-73.8055794999576,"park-cemetery-etc-Bronx","theater"
"7","Bronx Museum of the Arts (BXMA)",40.8310297799285,-73.9197501772483,"East Concourse-Concourse Village","theater"
"8","Brooklyn Children's Museum",40.6745069960993,-73.9440160138375,"Crown Heights North","theater"
"9","Brooklyn Historical Society",40.6948029749104,-73.9924054039313,"Brooklyn Heights-Cobble Hill","theater"
"10","Brooklyn Museum",40.6710832121263,-73.9635850679766,"park-cemetery-etc-Brooklyn","theater"
"11","Center For Jewish History",40.7379867645884,-73.9938687722398,"Hudson Yards-Chelsea-Flatiron-Union Square","theater"
"12","Children's Museum of Manhattan",40.7858709210676,-73.9772739196817,"Upper West Side","theater"
"13","Children's Museum of the Arts",40.7207494688101,-73.9988383609048,"SoHo-TriBeCa-Civic Center-Little Italy","theater"
"14","Cloisters",40.8649236357481,-73.9317340870604,"Washington Heights North","theater"
"15","Coney Island Museum",40.5752632425206,-73.9798559841527,"Seagate-Coney Island","theater"
"16","Cooper-Hewitt, National Design Museum",40.7843257399368,-73.9577816197546,"Upper East Side-Carnegie Hill","theater"
"17","Dahesh Museum",40.7621069729626,-73.9730419014211,"Midtown-Midtown South","theater"
"18","Discovery Times Square Exposition",40.7575010855119,-73.9873186395944,"Midtown-Midtown South","theater"
"19","Drawing Center",40.7224511885278,-74.0029041720417,"SoHo-TriBeCa-Civic Center-Little Italy","theater"
"20","Dyckman Farmhouse",40.8671309209355,-73.9238391474876,"Marble Hill-Inwood","theater"
"21","El Museo del Barrio",40.7930989207894,-73.9513676011167,"East Harlem South","theater"
"22","Ellis Island Museum",40.698207553303,-74.0413216179424,"park-cemetery-etc-Manhattan","theater"
"23","Fraunces Tavern Museum",40.7033992759879,-74.0113392631792,"Battery Park City-Lower Manhattan","theater"
"24","Frick Collection",40.7710546535055,-73.9670804053981,"Upper East Side-Carnegie Hill","theater"
"25","Garibaldi-Meucci Museum",40.6151652240151,-74.0738777429074,"Stapleton-Rosebank","theater"
"26","Goethe-Institut New York",40.7791656408525,-73.9617420401523,"Upper East Side-Carnegie Hill","theater"
"27","Gracie Mansion",40.7761134500304,-73.9430684626868,"Yorkville","theater"
"28","Guggenheim Museum, Solomon R.",40.783009476185,-73.9589110204059,"Upper East Side-Carnegie Hill","theater"
"29","Hispanic Society of America Museum",40.8334521467581,-73.9468228223052,"Washington Heights South","theater"
"30","Intrepid Sea-Air-Space Museum",40.7647832739417,-74.0008918064129,NA,"theater"
"31","Isamu Noguchi Garden Museum",40.7669566130525,-73.9376551450383,"Astoria","theater"
"32","Italian American Museum",40.7191946282105,-73.9974941068757,"SoHo-TriBeCa-Civic Center-Little Italy","theater"
"33","Jacques Marchais Center Museum of Tibetan Art",40.5763128353056,-74.1381233658255,"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","theater"
"34","Jewish Museum",40.7854022564254,-73.9571870593106,"Upper East Side-Carnegie Hill","theater"
"35","King Manor Museum",40.7030420192598,-73.8037606206352,"Jamaica","theater"
"36","Lee Young Hee Museum of Korean Culture",40.7471970949724,-73.9861883305829,"Midtown-Midtown South","theater"
"37","Lower East Side Tenement Museum",40.718687698399,-73.9896790482491,"Chinatown","theater"
"38","Madame Tussauds Wax Museum",40.756318163058,-73.9887022614006,"Midtown-Midtown South","theater"
"39","Merchant's House Museum",40.7276574172455,-73.9923460479088,"West Village","theater"
"40","Metropolitan Museum of Art (MET)",40.7794235419904,-73.9634511114527,"park-cemetery-etc-Manhattan","theater"
"41","Morgan Library and Museum",40.7492950724967,-73.981321485616,"Murray Hill-Kips Bay","theater"
"42","Morris-Jumel Mansion",40.8344476792655,-73.9385743879273,"Washington Heights South","theater"
"43","Mount Vernon Hotel Museum & Garden",40.7605257844742,-73.9597108292812,"Lenox Hill-Roosevelt Island","theater"
"44","Museum of American Finance",40.706484588628,-74.0091216039426,"Battery Park City-Lower Manhattan","theater"
