the_geom,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP,Star,review,Rating,closing,rates,specials,Type
POINT (-74.01375579519738 40.703816216918035),Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn,,New York,10004,4,1,4.0 star rating,,,,Museum
POINT (-74.06303178855111 40.615120837755356),Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,,Staten Island,10305,4.5,12,4.5 star rating,,,,Museum
POINT (-73.97810302110001 40.76162497138548),American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,,New York,10019,4,56,4.0 star rating,Closed: Monday,"admission: $9; seniors/students, $7; under 12, free",Pay-what-you-wish: Friday after 5:30pm; refreshments and music available,Museum
POINT (-73.97364816377815 40.78082623457644),American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,,New York,10024,4,1391,4.0 star rating,Closed: Thanksgiving Day and Christmas Day,"suggested admission: $16; seniors/students, $12; kids 2&ndash;12, $9; under 2, free",character(0),Museum
POINT (-73.99963036903092 40.721127449476676),Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,5th Floor,New York,10012,3,2,3.0 star rating,,,,Museum
POINT (-73.80557949995756 40.87177831678272),Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,Pelham Bay Park,Bronx,10464,4,12,4.0 star rating,,,,Museum
POINT (-73.91975017724828 40.83102977992849),Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,,Bronx,10456,4,36,4.0 star rating,"Closed: Monday through Wednesday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $5; seniors/students, $3; children, free",Pay-what-you-wish: Friday (excluding groups); refreshments available,Museum
,Bronx Zoo,(718)-367-1010,http://bronxzoo.com/,2300 Southern Blvd,,Bronx,10460,4,583,4.0 star rating,"Closed: New Year's Day, Martin Luther King Jr. Day, Thanksgiving Day and Christmas Day","admission: $15; seniors, $13; children 3&ndash;12, $11; under 2, free",Pay-what-you-wish: Wednesday (excluding special exhibitions/rides),Museum
,Brooklyn Botanic Garden,(718)-623-7200,http://www.bbg.org/,990 Washington Ave,,Brooklyn,11225,4.5,493,4.5 star rating,Closed: Monday (except federal holidays),"admission: $8; seniors/students, $4; under 12, free",Free: Tuesday through Saturday from 10am to noon (excluding major public programs),Museum
POINT (-73.94401601383748 40.67450699609931),Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,,Brooklyn,11213,4,95,4.0 star rating,"Closed: Monday (June 29&ndash;September 4, 2010); Monday and Tuesday (September 5, 2010&ndash;June 28, 2011)",admission: $7.50,character(0),Museum
POINT (-73.99240540393131 40.694802974910445),Brooklyn Historical Society,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,,Brooklyn,11201,4,19,4.0 star rating,,,,Museum
POINT (-73.96358506797661 40.67108321212629),Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,,Brooklyn,11238,4.5,419,4.5 star rating,"Closed: Monday and Tuesday and New Year's Day, Thanksgiving Day and Christmas Day","suggested contribution: $10; seniors/students, $6; under 12, free",Target-sponsored free admission: First Saturday of each month from 5 to 11pm,Museum
POINT (-73.99386877223978 40.737986764588406),Center For Jewish History,(212) 294-8301,http://www.cjh.org,15 W. 16th St.,,New York,10011,4,3,4.0 star rating,,,,Museum
POINT (-73.97727391968168 40.78587092106756),Children's Museum of Manhattan,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,,New York,10024,3,111,3.0 star rating,Closed: Monday,"admission: $10; seniors, $7; under 1, free",Target-sponsored free admission: First Friday of each month from 5 to 8pm,Museum
POINT (-73.99883836090484 40.72074946881006),Children's Museum of the Arts,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,,New York,10012,3.5,42,3.5 star rating,,,,Museum
POINT (-73.93173408706043 40.86492363574811),Cloisters,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,,New York,10040,4.5,435,4.5 star rating,"Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","suggested admission: $20; seniors, $15; students, $10; under 12, free (admission includes same-day entry to The Metropolitan Museum of Art)",character(0),Museum
POINT (-73.97985598415269 40.57526324252061),Coney Island Museum,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,,Brooklyn,11224,3.5,15,3.5 star rating,,,,Museum
