,NTAName,wifi,crimes,Restaurants,wifi%,crime%,restaurant%
1,Airport,0,0,202,0%,2%,92%
2,Allerton-Pelham Gardens,0,0.5208957,38,0%,44%,17%
3,Annadale-Huguenot-Prince's Bay-Eltingville,5,0.2436732,31,76%,18%,14%
4,Arden Heights,0,0.153232,7,0%,10%,3%
5,Astoria,3,0.6706676,377,46%,128%,171%
6,Auburndale,1,0.4689615,35,15%,25%,16%
7,Baisley Park,17,1.1955793,43,260%,104%,20%
8,Bath Beach,8,0.5731637,48,122%,43%,22%
9,Battery Park City-Lower Manhattan,41,1.2531328,476,626%,119%,216%
10,Bay Ridge,5,0.5452094,289,76%,116%,131%
11,Bayside-Bayside Hills,1,0.5140372,142,15%,59%,65%
12,Bedford,3,1.1755475,125,46%,209%,57%
13,Bedford Park-Fordham North,12,1.203628,82,183%,161%,37%
14,Bellerose,7,0.5430596,40,107%,36%,18%
15,Belmont,1,1.5087461,112,15%,99%,51%
16,Bensonhurst East,2,0.5518619,125,31%,86%,57%
17,Bensonhurst West,0,0.4261364,187,0%,94%,85%
18,Borough Park,8,0.3587469,99,122%,97%,45%
19,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,17,0.5043496,55,260%,38%,25%
20,Briarwood-Jamaica Hills,3,0.684023,42,46%,67%,19%
21,Brighton Beach,1,0.6553951,65,15%,53%,30%
22,Bronxdale,1,0.7086101,53,15%,61%,24%
23,Brooklyn Heights-Cobble Hill,20,0.8511363,104,305%,51%,47%
24,Brownsville,11,1.5303544,73,168%,215%,33%
25,Bushwick North,5,1.0320786,208,76%,162%,95%
26,Bushwick South,4,1.3151431,132,61%,238%,60%
27,Cambria Heights,1,0.7817138,24,15%,40%,11%
28,Canarsie,2,0.8623491,87,31%,189%,40%
29,Carroll Gardens-Columbia Street-Red Hook,19,1.0400284,176,290%,104%,80%
30,Central Harlem North-Polo Grounds,73,1.1228627,129,1115%,223%,59%
31,Central Harlem South,53,1.3470681,128,809%,160%,58%
32,Charleston-Richmond Valley-Tottenville,1,0.2697879,85,15%,17%,39%
33,Chinatown,11,1.0633727,499,168%,126%,227%
34,Claremont-Bathgate,2,1.4715937,46,31%,115%,21%
35,Clinton,2,1.8983951,547,31%,207%,249%
36,Clinton Hill,2,1.0875237,142,31%,101%,65%
37,Co-op City,1,0.7245395,65,15%,82%,30%
38,College Point,1,0.4339022,38,15%,27%,17%
39,Corona,1,0.504705,62,15%,69%,28%
40,Crotona Park East,0,1.1497642,21,0%,59%,10%
41,Crown Heights North,13,1.483072,224,199%,377%,102%
